id,name,definition,purpose,meta_meta,Обоснование и связанные понятия,examples,relations,status,Связанные понятия и мои мысли
C_35,Практики саморазвития / Новая (вторая) грамотность,"Набор универсальных методов, позволяющих человеку быстрее учиться сложному, продуктивно использовать время и осознанно управлять своим развитием. Включают в себя инвестирование времени, систематическое медленное чтение, мышление письмом и проговариванием, организацию досуга, формирование окружения, стратегирование и планирование.",,U.Method: Абстрактный метод (способ действия),"Это набор универсальных методов (инвестирование времени, мышление письмом и т.д.), позволяющих управлять своим развитием. Каждый из них — это воспроизводимый способ действия, то есть U.Method.",,,,"Роль Ученика, Экзокортекс, Творческий конвейер, Мастерство саморазвития, Синергетический эффект. Мысли: Это операционная система для личности в XXI веке. Как арифметика стала базовой грамотностью прошлого, так и эти практики — необходимый фундамент для конкурентоспособности и самореализации сегодня. Их сила в синергии: минута медленного чтения с заметками — это одновременно вклад в практику чтения и в мышление письмом, что на порядок ускоряет освоение."
C_36,Приоритетный инвестиционный проект,"Нацелен на наращивание жизненного мастерства. Его итоговый продукт — это новое знание, навык или компетенция. Например, «Проект освоения практики системного мышления». Если вы специально берете рабочую задачу, чтобы на ней чему-то научиться, то это инвестиционный проект в формате практико-ориентированного обучения. ",,U.WorkPlan: План работ,"Это проект (план работ), нацеленный на развитие жизненного мастерства. План конкретных действий с определённой целью в FPF моделируется как U.WorkPlan.",,,,"Если проект — это в первую очередь способ войти в новую сферу (инвестиционный фокус), то проект классифицируется как приоритетный инвестиционный проект. Главная цель — получить проверяемое мастерство и кейс для портфолио. Заработок в этом случае является важным критерием успешности и подтверждением того, что полученное мастерство востребовано на рынке. Деньги здесь — это форма обратной связи от реальности"
C_37,Приоритетный проект,"Проект, который направлен на устранение ключевой неудовлетворённости, связан с личным смыслом и каждую неделю выдаёт проверяемый рабочий продукт. Это основной инструмент для перевода стратегии в действие.",,U.WorkPlan: План работ,"Это проект, который устраняет ключевую неудовлетворённость и имеет еженедельные результаты. Как и любой проект, он является планом работ, то есть U.WorkPlan.",,,,"Стратегирование, Личный контракт, Рабочий продукт, Спринт, Слот. Мысли: Наличие ""всегда действующего"" приоритетного проекта — это маркер агентской позиции. Он не дает ""зависнуть"" в теории или рефлексии, так как требует еженедельного, осязаемого результата. Это превращает карьеру из абстракции в серию конкретных, управляемых шагов. Переносит управление к человеку: роли, правила инвестиций времени, стандарты качества/публичности."
C_38,Приоритетный рабочий проект,"Нацелен на создание конкретной системы или рабочего продукта, который устраняет неудовлетворенность. Например, «Проект создания системы личного финансового учета». Если вы решаете рабочую задачу и попутно чему-то учитесь, то это рабочий проект. Если проект — это главный источник дохода (рабочий фокус), то проект остается приоритетным рабочим проектом. Его основная цель — создать продукт или сервис, который принесет прибыль. Обучение в этом случае становится необходимым методом для достижения этой цели. Вы инвестируете время в освоение новых навыков, потому что без них невозможно создать конкурентоспособный продукт и, следовательно, заработать.",,U.WorkPlan: План работ,"Это проект, нацеленный на создание конкретной системы или рабочего продукта для устранения неудовлетворённости. Он отличается от инвестиционного проекта, фокус которого на развитии мастерства. Любой проект, как совокупность запланированных работ для достижения цели, в FPF моделируется как U.WorkPlan.",,,,
C_39,Продуктивное состояние,"По сути. Устойчивый режим работы ума и тела, когда есть ясность намерения, управляемое внимание (собранность) и адекватный тонус тела, а цикл «замысел → действие → обратная связь» идёт без лишних переключений. Ключ — сознательный присмотр за вниманием (governance), а не «само собой» .

Когда важно. В задачах, требующих длительной концентрации: глубокая работа, написание длинных текстов, учебные марафоны; здесь помогают протоколы типа pomodoro .

Из чего состоит (операционализация). 1) Собранность — владеть умом и телом; это не mindfulness-ритуалы и не спорт ради спорта, а именно присмотр за вниманием на разных масштабах времени . 2) Режимы мышления: уметь включать трудный S2 для логики и проверки, тренировать переход в режим проверки вывода . 3) Экзокортекс/инструменты — внешняя память и поиск, которые удерживают объекты внимания и разгружают голову . 4) Картинка задачи — понятизация и место «собранности» в интеллект-стеке: без них высокоуровневые методы «не схватываются» . 5) Ритуалы удержания — помодоро, «якоря» (мантры) для фокусировки: «повторяй — удерживает собранность» .",,U.Characteristic: Характеристика,,,,,"Путают с:
• Mindfulness/релаксацией. Продуктивное состояние — не про расслабление ради ощущения, а про надзор за вниманием в работе; прямо подчёркнуто, что собранность — «не mindfulness» .
• «Хорошим настроением» от хобби. Позитивное состояние можно «сделать» практикой ради эмоций, но это не гарантирует производительность по задаче .

Связи:
• Опирается на: Собранность (присмотр за вниманием) ; Понятизацию (чёткая форма задачи) в составе интеллект-стека ; умение переключать S2 для критики и проверки .
• Порождает: способность к глубокой работе на часы без «срывов» внимания; иначе логика просто не держится на длинном рассуждении .

Метафора. Это режим «пилот-автопилот с диспетчером»: автопилот ведёт рутину, но есть диспетчер (ты), который держит курс, включает нужный режим мышления и подхватывает управление на критических участках."
C_40,Проблема,,,U.Characteristic: Характеристика,"Проблема — это объективный разрыв между текущим состоянием и желаемым результатом. В нейронауке это описывается как ошибка предсказания. В отличие от неудовлетворённости (психического состояния), проблема — это измеряемая характеристика ситуации. В FPF такие измеряемые свойства и состояния систем канонизированы как U.Characteristic.",,,,
C_41,Пропитка,"Одна из ключевых стадий обучения, на которой человек объясняет себе важность освоения новой практики, формирует сильную и долгосрочную мотивацию, а также создаёт окружение, которое удерживает его внимание на обучении.",,U.Method: Абстрактный метод (способ действия),"Пропитка — это стадия обучения, на которой происходит погружение в культурный контекст практики через наблюдение, общение и копирование без глубокого анализа. Это специфический способ (метод) первоначального освоения знаний и навыков. В FPF абстрактные, воспроизводимые способы действия моделируются как U.Method.",,,,"Стадии обучения, Формирование окружения, Мотивация, Агентность. Мысли: Это часто упускаемый, но критически важный этап. Без качественной пропитки любое сложное и долгое обучение обречено на провал из-за угасания мотивации. Это не просто ""замотивировать себя"", а системная работа: найти глубокие личные причины, окружить себя правильными людьми и информацией, чтобы сама среда не давала ""соскочить""."
C_42,Профессионал,"Человек, который делает всё в своей сфере деятельности быстрее и качественнее, чем обычный, потому что знает и применяет лучшие практики (SoTA-методы) в своей области.",,U.Role: Роль,"Профессионал — это роль человека, который владеет лучшими на сегодняшний день (SoTA) методами в своей предметной области. В FPF U.Role является фундаментальным понятием для описания функции, которую выполняет система. Роль «профессионал» подразумевает определённый уровень мастерства и способность решать класс задач с предсказуемым качеством.",,,,"Мастерство, Роль, Практики ученика, SoTA-методы. Мысли: Источники подчеркивают, что профессионализм — это не просто ""опыт"". Это осознанное владение лучшими методами. Профессиональный ученик отличается от обычного так же, как пловец-кролист от того, кто ""плавает по-собачьи"". Чтобы стать профи в любом деле, нужно сначала стать профессиональным учеником в этом деле."
C_43,Публичность и репутация,Открытая демонстрация хода и результатов; репутация — история проверяемой полезности.,,U.Characteristic: Характеристика,"Публичность — это готовность демонстрировать результаты, а репутация — это история проверяемой полезности. Оба понятия являются измеряемыми характеристиками или атрибутами личности (агента), которые оцениваются другими системами. В FPF для таких измеряемых свойств используется тип U.Characteristic.",,,,Регулярная публичность превращает артефакты в социальный капитал и ускоряет возможности.
C_44,Рабочий продукт (артефакт),"Проверяемый, осязаемый результат работы, по которому внешний наблюдатель может судить о пользе. Это может быть документ, код, прототип, инструкция, отчёт. Единицей прогресса в системной карьере является неделя с чётко определённым рабочим продуктом.",,U.Episteme: Эпистемический артефакт или U.System: Система,"Рабочий продукт (артефакт) — это проверяемый, осязаемый результат работы, такой как документ, код или прототип. В FPF такие знаниевые конструкции (документы, модели, код) моделируются как U.Episteme. Если же рабочий продукт — это физическая, операционная целостность (например, прототип устройства), то он моделируется как U.System.",,,,"Личный приоритетный проект, Спринт, План работ, Качество, Публичность. Мысли: Фокус на рабочих продуктах — это противоядие от ""имитации бурной деятельности"". Если по итогам недели нет артефакта, значит, реальной работы не было. Принцип ""не делать ничего, что не ведёт к рабочему продукту из списка"" вносит в деятельность невероятную дисциплину и ясность. Проекты двигают вперёд именно рабочие продукты."
C_45,Репутация,Последовательная история проверяемой полезности (через публичные артефакты).,,U.Characteristic: Характеристика,"Репутация — это история проверяемой полезности, характеристика, которая накапливается со временем. Это свойство или характеристика агента, которая оценивается другими. В FPF для этого используется U.Characteristic.",,,,Репутация — главный «магнит» возможностей; строится через ритм демо.
C_46,Роль,Устойчивая способность решать класс задач с предсказуемым качеством.,,U.Role: Роль,"Роль — это устойчивая способность решать класс задач с предсказуемым качеством. В FPF U.Role является фундаментальным понятием, описывающим контекстную функцию или «маску», которую носит система.",,,,«Одна роль — один проверяемый артефакт» — простой тест реальности роли.
C_47,Синергетический эффект (практик),"Эффект, возникающий при одновременном освоении и применении всех практик саморазвития, который позволяет на порядок сократить время на их освоение и значительно повысить скорость и качество обучения в целом.",,B.2 MHT: Мета-холонный переход (эмерджентность),"Это эффект, при котором совместное применение практик даёт результат, превосходящий сумму их отдельных эффектов. В FPF появление новых свойств у системы, которые не сводятся к сумме свойств её частей, моделируется как эмерджентность или Мета-холонный переход (MHT).",,,,"Практики саморазвития, Экзокортекс, Мастерство саморазвития. Мысли: Это ответ на вопрос ""почему эти практики собраны вместе?"". Одна и та же минута медленного чтения с заметками является вкладом сразу в несколько практик, создавая кумулятивный эффект. Это методическое ядро всей программы ""Новая грамотность""."
C_48,Системная карьера,"Карьерный процесс, организованный с использованием системных понятий (включая эволюционные теории), в котором личность выступает заказчиком собственного развития. Фокус смещается с должностей на создание ценности на всё более высоких системных уровнях, управляя своей киберличностью и ресурсностью.",,U.MethodDescription: Описание метода (рецепт),"Системная карьера — это процесс, организованный с использованием системных понятий. Это не сама карьера-факт, а способ её построения, то есть описание метода. В FPF это соответствует U.MethodDescription.",,,,"Связывает смыслы с календарём и артефактами, делая рост наблюдаемым и воспроизводимым. Личный приоритетный проект, Личный контракт, Рост по системным уровням, Ресурсность, Элита, Траектория ролей, Киберличность. Мысли: Это фундаментальный сдвиг парадигмы. Вместо того чтобы быть пассивным исполнителем, которого ""планируют"" рынок и работодатели, человек становится архитектором своей траектории. Карьера перестает быть серией случайных трудоустройств и превращается в управляемый проект, где каждый шаг осмыслен и направлен на рост полезности для внешних систем."
C_49,Системное саморазвитие,"Способность человека самостоятельно, непрерывно и бесконечно развиваться, используя лучшие практики (знания и технологии), включая экзокортекс. Это более широкое понятие, чем карьера, охватывающее все аспекты жизни.",,U.Method: Абстрактный метод (способ действия),"Это подход к личному развитию, организованный через постоянный личный приоритетный проект, который каждую неделю даёт проверяемый рабочий продукт. Это воспроизводимый способ или метод управления своим развитием. В FPF такие абстрактные «рецепты» действий моделируются как U.Method.",,,,"Бесконечное развитие, Личностный рост, Карьера как часть жизни, Роль ученика. Мысли: Это фундаментальная цель, для достижения которой и служат все остальные практики. Источники подчеркивают, что без мастерства саморазвития невозможно быть востребованным профессионалом и менять мир к лучшему в условиях постоянных изменений."
C_50,Слоты,"Защищённые окна времени (стандарт — ежедневно, ≥10 часов/неделя) под приоритетный проект.",,U.WorkPlan: План работ (элемент),"Слоты — это защищённые временные окна в календаре, зарезервированные для работы над приоритетными проектами. Они являются конкретными элементами плана работ на неделю. В FPF план работ моделируется как U.WorkPlan.",,,,«Ведущая» метрика дисциплины — факт часов в слотах.
C_51,Спринт (неделя),Базовая единица прогресса с одним измеримым инкрементом/артефактом.,,U.WorkPlan: План работ,Спринт (неделя) — это базовая единица прогресса с одним измеримым результатом (инкрементом). Он представляет собой план работ на короткий период. В FPF для моделирования планов и расписаний используется U.WorkPlan.,,,,Жёсткая формулировка «одна неудовлетворённость → один продукт» повышает завершение.
C_52,Стадии обучения,"Определённые отрезки времени, в которых выполняются работы для постановки и развития мастерства. Включают: Пропитка и Изучение теории, Анализ и планирование, Практическое применение (тренировка), Обучение других и Просвещение.",,U.RoleStateGraph: Граф состояний роли,"Стадии обучения (Пропитка → Изучение → Практика → Обучение других) — это последовательность состояний, которые проходит человек в освоении мастерства. В FPF жизненный цикл и последовательность состояний, которые может проходить роль (например, роль «Ученик практики Х»), моделируется через Граф состояний роли (U.RoleStateGraph).",,,,"Уровни мастерства, План работ, Пропитка, Бесконечное развитие. Мысли: Если уровни мастерства — это ""что я могу"", то стадии обучения — это ""как этого достичь"". Источники показывают, что на разных уровнях мастерства приоритет стадий меняется. Новичок должен сфокусироваться на пропитке и теории, а мастер — на обучении других и просвещении, чтобы продолжать расти. Это очень важный методический принцип: нельзя стать мастером, просто бесконечно тренируясь в одиночку."
C_53,Стратегирование,"Непрерывный процесс работы с неудовлетворённостями, их перевода в приоритетные проекты и гипотезы по их реализации. Процесс важнее статичного плана («стратегии»), так как позволяет постоянно адаптироваться к изменениям через еженедельные сессии.",,B.5.2 Abductive Loop: Абдуктивный цикл (генерация гипотез),Стратегирование — это непрерывный процесс работы с неудовлетворённостями и перевода их в проекты и гипотезы. Этот процесс генерации наилучших объяснений и методов действия в условиях неопределённости в FPF моделируется как Абдуктивный цикл в рамках Канонического цикла рассуждений.,,,,"Неудовлетворённость, Приоритетный проект, Личный контракт, Горизонт стратегирования, Сессия стратегирования. Мысли: Стратегирование — это не написание большого документа раз в год. Это еженедельная ""встреча с собой"", на которой вы сверяете свои долгосрочные смыслы с планами на ближайшие семь дней. Это превращает абстрактные цели из источника фонового шума и беспокойства в топливо для конкретных, проверяемых действий."
C_54,Творческий конвейер,"Налаженный творческий процесс, который позволяет человеку постоянно и предсказуемо генерировать новые идеи (смыслы, цели), воплощать их в виде проработанных моделей и формировать свою личную базу знаний.",,B.4.3 Method Instantiation: Инстанцирование и улучшение метода,Это налаженный творческий процесс для предсказуемой генерации идей. Речь идёт об отлаженном и постоянно улучшаемом методе работы. В FPF циклы улучшения процессов и методов моделируются как Method Instantiation в рамках Канонического цикла эволюции.,,,,"Мышление письмом, Исчезающие заметки, Личная база знаний, Экзокортекс, Стратегирование. Мысли: Это операционная система для интеллектуальной работы. Она разрушает миф о ""творчестве по вдохновению"". Вместо ожидания музы, вы выстраиваете процесс, который гарантированно производит идеи: от систематического чтения (вход), через фиксацию мыслей в заметках и их проработку в черновиках, до публикации готовых заготовок (выход). Это превращает творчество из случайности в управляемый, ритмичный процесс."
C_55,Творческий щелчок,"Внезапное ощущение озарения (""Эврика!""), когда разрозненные идеи в черновике складываются в единый пазл и тема становится готовой для оформления в виде заготовки. Это сигнал о ""созревании"" идеи на творческом конвейере.",,U.Dynamics: Закон изменения состояния (триггер),"Это внезапный инсайт или решение, возникающее как результат длительной неосознанной работы мозга над проблемой. Это триггер, который запускает переход ментальной системы в новое состояние («решение найдено»). В FPF такие события-триггеры, управляющие сменой состояний, являются частью U.Dynamics.",,,,"Творческий конвейер, Черновики, Заготовка, Мышление письмом. Мысли: Это кульминация работы творческого конвейера. Важно понимать, что этот ""щелчок"" — не случайность, а результат систематической работы по сбору заметок и их медленному ""вызреванию"" в черновиках. Умение доверять этому ощущению и сразу садиться за написание заготовки — ключ к высокой интеллектуальной продуктивности."
C_56,Техноэволюция,"Процесс развития и распространения мемов (идей, знаний, культурных норм), за счёт которых создаются технологии, усиливающие функции человека (например, экзокортекс для мышления).",,B.4 Canonical Evolution Loop: Канонический цикл эволюции,"Это процесс эволюционного развития технологий, где мемом (описание) хранится отдельно от фенома (воплощение), что допускает «умные мутации» и быстрое развитие. FPF моделирует такие процессы улучшения и развития через Канонический цикл эволюции (Run-Observe-Refine-Deploy), который по сути является операционной моделью техноэволюции.",,,,"Мемы, Эволюция, Экзокортекс, Бесконечное развитие, Элита. Мысли: Это взгляд на развитие цивилизации как на эволюцию не генов, а идей. Мы, как деятели, являемся и продуктом, и агентами этой техноэволюции. Осознанно впитывая лучшие мемы (через чтение) и создавая новые (через мышление письмом), мы вносим вклад в общее развитие, которое выходит за рамки нашей собственной жизни."
C_57,Траектория ролей,Последовательность развития ролей: Ученик → Интеллектуал → Профессионал → Исследователь → Просветитель; переход по демонстрации воспроизводимых результатов.,,U.RoleStateGraph: Граф состояний роли,"Это последовательность развития ролей (Ученик → Интеллектуал и т.д.). В FPF жизненный цикл и последовательность состояний, которые может проходить роль, моделируется через Граф состояний роли (RSG).",,,,Помогает планировать «подсвечивание» следующей роли конкретным артефактом недели.
C_58,Уровни мастерства,"Степень владения изучаемой практикой, которая определяет, что человек может делать. В источниках выделяется 4 уровня: Объяснение (понимаю зачем и что это), Умение (могу применять систематически), Навык (делаю качественно, быстро и с удовольствием), Мастерство (творю, учу других, развиваю теорию).",,U.RoleStateGraph: Граф состояний роли,"Это степень владения практикой (Объяснение → Умение → Навык → Мастерство). Эти уровни представляют собой состояния в развитии мастерства. Их можно смоделировать как узлы в Графе состояний роли (например, роли «Мастер практики Х»).",,,,"Стадии обучения, Бесконечное развитие, Мастерство саморазвития, Осознанное обучение. Мысли: Эта модель превращает абстрактное ""научиться"" в конкретную, измеримую траекторию. Она показывает, что мастерство — это не просто ""много часов практики"". Это последовательное прохождение этапов, где на каждом уровне меняется фокус: сначала — мотивация и теория (Объяснение), затем — ритмичность (Умение), потом — качество и автоматизм (Навык), и, наконец, — творчество и передача знаний (Мастерство). Это дорожная карта для любого обучения."
C_59,Устойчивая карьера (Sustainable Career),"Концепция, которая рассматривает карьеру через призму долгосрочного благополучия, объединяя продуктивность, здоровье и счастье во времени, а также синхронизируя различные жизненные сферы (работа, семья, развитие).",,E/E‑LOG — Политика исследования/эксплуатации,"Это концепция карьеры, которая объединяет продуктивность, здоровье и счастье в долгом временном горизонте. Это стратегия или политика, балансирующая между освоением нового (исследование) и применением имеющихся навыков (эксплуатация) для обеспечения долгосрочного благополучия. В FPF для этого есть архитеория E/E-LOG (Explore-Exploit Governor).",,,,"Системная карьера, Организация досуга, Ресурсность, Непрерывное развитие. Мысли: Это современный взгляд, который уходит от модели ""карьерного спринта"" к ""карьерному марафону"". Речь идет не о том, чтобы достичь пика как можно быстрее, а о том, чтобы поддерживать высокий уровень продуктивности и удовлетворенности на протяжении всей жизни. Практика организации досуга и работа со своими неудовлетворённостями являются ключевыми инструментами для построения именно такой, устойчивой, карьеры."
C_60,Формирование окружения,"Осознанная деятельность по изменению физической (рабочее место, город) и социальной (семья, коллеги, сообщества) среды для её превращения в функциональную, эстетичную, развивающую и мотивирующую.",,U.Method: Абстрактный метод (способ действия),"Это осознанная деятельность по изменению физической и социальной среды. Это способ действия, направленный на создание определённых условий, то есть U.Method.",,,,"Банка с огурцами, Впечатления, Практики досуга, Сообщество единомышленников. Мысли: Это мощнейший рычаг влияния на свою жизнь. Вместо того чтобы просто ""попасть в хорошее место"", нужно научиться создавать это ""хорошо"" вокруг себя. Правильное окружение работает как ""банка с огурцами"" — оно пропитывает, мотивирует и экономит массу ментальной энергии, которую иначе пришлось бы тратить на борьбу со средой."
C_61,Целенаправленное зондирование,"Тактика движения в условиях неопределенности: держать ясный долгосрочный ориентир, но двигаться короткими, проверяемыми шагами (недельными инкрементами), получая обратную связь и накапливая капитал (навык, репутацию). Метафора — «прыжки по камушкам в тумане».",,E/E-LOG: Политика исследования/эксплуатации,"Это тактика движения в неопределённости: «прыжки по камушкам в тумане». Это стратегия или политика, балансирующая между исследованием нового (прыжок в туман) и эксплуатацией известного (прыжок на видимый камень). В FPF для этого есть специальная архитеория E/E-LOG (Explore-Exploit Governor).",,,,"Стратегирование, Приоритетный проект, Недельный спринт, Гипотеза. Мысли: Это ответ на парадокс ""как планировать в хаосе?"". Вместо жесткого долгосрочного плана вы выстраиваете процесс, который позволяет гибко адаптироваться, не теряя направления. Связка «большая цель ↔ недельный рабочий продукт» — это и есть реализация этого принципа."
C_62,Чувство,"По сути. Осознанные и более длительные переживания/отношения (например, симпатия, уважение), которые могут направлять действия, но не диктуют сиюминутные реакции. В быту «чувства» часто фигурируют как причина действий («поцеловал от избытка чувств») — единичный акт лишь проявляет внутреннее состояние, но не задаёт способ работы . Важно различать «чувства» как аффективные состояния и «органы чувств» (сенсорные каналы восприятия) — разные смыслы одного слова: модальности восприятия опираются на пять органов чувств и связаны с понятизацией опыта .

Когда важно. В долгих кооперациях и обучении, где устойчивые отношения и мотивация поддерживают дисциплину и внимание.

Из чего состоит (операционализация). 1) Осознавание и называние чувства; 2) разведение чувства и роли: действуем по роли, не «по чувству»; 3) внешняя фиксация (заметки) для трезвого анализа мотиваций и последствий",,U.Characteristic: Характеристика,"Чувство — это субъективная эмоциональная реакция на неудовлетворённость, и его сила определяет мотивацию к действию. Как и эмоция, это измеряемая характеристика психического состояния агента. В FPF для таких измеряемых свойств используется U.Characteristic.",,,,"Путают с:
• Эмоциями. Эмоции — мгновенные всплески; чувства — более долгоиграющие и осмысляемые состояния (их можно описывать и обсуждать как контекст действий) .
• «Пять чувств». Это сенсорика, а не аффективность; совпадение только лексическое .

Связи:
• Опирается на: Понятизацию субъективного опыта (называние, нарратив) и работу внимания .
• Порождает: стабильную мотивацию/отношения, влияющие на выбор ролей и проектов.

Метафора. Климат: задаёт общий фон погоды и маршрутов, но каждую «бурю» (эмоцию) всё равно приходится проходить по приборам."
C_63,Шкура на кону (Skin in the game),"Принцип, согласно которому человек несет ответственность за свои слова и действия, рискуя чем-то реальным (репутацией, ресурсами). Это необходимое условие для эволюции идей и личного роста.",,U.Method: Абстрактный метод (способ действия),"Это принцип, согласно которому человек несёт ответственность за свои слова и действия, рискуя чем-то реальным (репутацией, ресурсами). Это способ действия или этический принцип, который обеспечивает эволюцию идей и личный рост. В FPF такие универсальные принципы действия моделируются как U.Method.",,,,"Публичность, Агентность, Элита, Ответственность. Мысли: Это философский принцип, который отделяет теоретиков от практиков. Публикация заготовки, даже для узкого круга, — это пример того, как ""поставить шкуру на кон"". Это заставляет относиться к своим мыслям серьезнее и ускоряет получение обратной связи."
C_64,Экзокортекс / Второй мозг (Second Brain),"Внешняя среда для обработки и хранения информации, которая дополняет и усиливает биологический мозг. Включает технологии (компьютеры, ПО), методы и привычки, которые усиливают интеллект, память и способность к творчеству.",,U.System: Система (составная),"Это внешняя среда для обработки и хранения информации, которая усиливает мозг. Это система, состоящая из инструментов (компьютер, ПО) и методов, тесно интегрированная с человеком. В FPF такие операционные целостности моделируются как U.System.",,,,"Киберличность, Мышление письмом, Личная база знаний, Творческий конвейер. Мысли: Современный деятель — это не просто человек, а симбиоз человека и его экзокортекса. Развивать нужно не только ""себя"", но и эту расширенную систему. Грамотно настроенный экзокортекс превращает разрозненные заметки в личную базу знаний, которая со временем начинает работать на вас, подсказывая неожиданные связи и идеи."
C_65,Элита,"Совокупность людей-созидателей, которые устойчиво создают ценность на высоких системных уровнях (отрасли, общества, цивилизации). Описывается тремя характеристиками: агентностью и калибром личности, высокой степенью мастерства и достаточной ресурсностью.",,Norm-CAL: Нормативный калькулус (ограничение),"Это заранее определённые сферы и практики, в которых человек не участвует. Это набор норм и ограничений, которые управляют поведением. В FPF такие правила, обязательства и запреты моделируются с помощью архитеории Norm-CAL.",,,,"Агентность, Ресурсность, Степень мастерства, Системные уровни, Карьерный рост. Мысли: Элита в этом понимании — это не про статус или привилегии, а про ответственность и способность создавать сложные, полезные системы. Это ориентир для карьерного роста. Путь в элиту — это не ""назначение"", а траектория ролей (Ученик → Интеллектуал → Профессионал → ...), подкреплённая публичными артефактами и доказанной полезностью."
C_66,Эмоции,,,U.Characteristic: Характеристика,"Эмоции — это субъективная реакция на проблему или неудовлетворённость. Сила эмоции влияет на выбор приоритетных проектов. Это измеряемая характеристика состояния агента, поэтому в FPF она соответствует типу U.Characteristic.",,,,
C_67,Этические фильтры / «красные зоны»,"Заранее заданные сферы/практики, куда вы не идёте (вредные продукты, нечестные практики).",,Norm-CAL: Нормативный калькулус (ограничение),"Это заранее определённые виды продуктов, практик и условий, в которых человек не участвует ни при каких обстоятельствах. Это набор норм и ограничений, которые управляют поведением. В FPF такие правила, обязательства и запреты моделируются с помощью архитеории Norm-CAL.",,,,Держат долгий горизонт и репутацию; проверяются на еженедельной сессии стратегирования.
C_68,Эпик,,,,,,,,
,Карьера как управляемая система,,,,,,,,
,Карьерный концепт,,,,,,,,
