id,name,definition,purpose,status,meta_meta,examples,relations,created,updated
C_42,Профессионал,"Человек, который систематически развивает мастерство в выбранной области, осознанно управляет своей карьерой и создает ценность через применение экспертизы. Отличается от специалиста более широким видением контекста, способностью к стратегическому мышлению и активной позицией в формировании своего профессионального пути.",Служит ориентиром для карьерного развития и самоидентификации. Помогает понять разницу между выполнением задач и профессиональным ростом. Задает планку осознанности в управлении карьерой и развитии экспертизы.,draft+filled,Роль,Ведение личного контракта с четкими целями; Регулярное обновление карты ролей; Публикация экспертного контента; Участие в профессиональных сообществах; Менторство коллег,relates_to:C_2; relates_to:C_14; relates_to:C_22; relates_to:C_23; relates_to:C_43; relates_to:C_46; relates_to:C_48,2025-10-02T15:58:57.463458,2025-10-02T16:16:58.330265
C_43,Публичность и репутация,"Способность и готовность профессионала быть видимым в профессиональном сообществе, создавать и поддерживать положительное восприятие своих компетенций и достижений. Включает активное участие в публичных активностях, демонстрацию экспертизы и формирование узнаваемого профессионального образа. Не путать с саморекламой — здесь акцент на создании ценности для сообщества через открытое делиться знаниями и опытом.","Увеличивает карьерные возможности через расширение профессиональной сети, привлечение интересных проектов и предложений о работе. Помогает получать обратную связь от коллег, находить менторов и партнёров. Создаёт основу для экспертного позиционирования и роста влияния в профессиональной области.",draft+filled,Характеристика,Выступления на конференциях; Публикация статей в профессиональных изданиях; Ведение профессионального блога; Участие в отраслевых дискуссиях в соцсетях; Менторство и обучение коллег,relates_to:C_3; relates_to:C_16; relates_to:C_45; relates_to:C_23; relates_to:C_42,2025-10-02T15:58:57.463870,2025-10-02T16:17:10.810802
C_44,Рабочий продукт (артефакт),"Материальный или цифровой результат выполнения работы, который можно передать, оценить или использовать другими людьми. Включает документы, код, презентации, отчёты, модели, прототипы и другие осязаемые выходы профессиональной деятельности. Отличается от процесса работы тем, что представляет конкретный завершённый результат с чёткими границами и критериями готовности.","Создание видимых результатов работы для демонстрации компетенций, построения репутации и накопления портфолио достижений. Позволяет измерять прогресс, получать обратную связь и формировать доказательную базу профессионального роста.",draft+filled,Артефакт,Техническая документация проекта; Презентация для клиента; Код программы или скрипта; Аналитический отчёт; Обучающий материал или курс,relates_to:C_20; relates_to:C_33; relates_to:C_4; relates_to:C_43; relates_to:C_45,2025-10-02T15:58:57.464296,2025-10-02T16:17:23.268511
C_45,Репутация,"Устойчивое восприятие профессиональных качеств и достижений человека в его рабочем сообществе. Формируется через последовательность публичных действий, результатов работы и взаимодействий с коллегами. Включает экспертную репутацию (признание компетенций) и социальную репутацию (доверие и готовность к сотрудничеству).","Создаёт основу для карьерных возможностей, влияет на получение интересных проектов и предложений о работе. Помогает выстраивать профессиональные связи и повышает переговорную позицию при смене ролей или условий работы.",draft+filled,Характеристика,Регулярные выступления на профессиональных мероприятиях; Публикация экспертных материалов в профессиональном сообществе; Успешное завершение видимых проектов; Менторство коллег; Участие в профессиональных дискуссиях,relates_to:C_3; relates_to:C_43; relates_to:C_23; relates_to:C_46,2025-10-02T15:58:57.464714,2025-10-02T16:17:34.170788
C_46,Роль,"Набор функций, обязанностей и полномочий, которые человек выполняет в определённом контексте или системе. Включает ожидания от исполнителя, границы ответственности и критерии успеха. Роль может быть формальной (должностная позиция) или неформальной (экспертная, лидерская).","Структурирует взаимодействие в команде и организации, определяет зону ответственности и развития компетенций, помогает планировать карьерные переходы и оценивать соответствие текущих задач долгосрочным целям.",draft+filled,Роль,Продуктовый менеджер в IT-команде; Ментор для джуниор-разработчиков; Технический лидер проекта; Представитель команды в кросс-функциональных встречах; Эксперт по данным в маркетинговом отделе,relates_to:C_13; relates_to:C_14; relates_to:C_23; relates_to:C_42; relates_to:C_48,2025-10-02T15:58:57.465211,2025-10-02T16:17:48.337497
C_47,Синергетический эффект (практик),"Взаимное усиление результативности нескольких практик саморазвития при их совместном применении, когда общий эффект превышает сумму эффектов от каждой практики по отдельности. Возникает через пересечение областей воздействия, общие артефакты и ритмы выполнения.",Максимизация отдачи от инвестиций времени в саморазвитие через осознанное комбинирование практик. Позволяет достигать карьерных целей быстрее и с меньшими затратами энергии за счёт взаимного усиления эффектов.,draft+filled,Характеристика,Ведение исчезающих заметок во время недельного стратегирования; Развитие публичности через мышление письмом; Использование творческого конвейера для приоритетного проекта; Совмещение осознанного обучения с peer review; Применение личного контракта в спринтах,relates_to:C_10; relates_to:C_11; relates_to:C_26; relates_to:C_27; relates_to:C_31; relates_to:C_35; relates_to:C_43; relates_to:C_54,2025-10-02T15:58:57.465662,2025-10-02T16:17:59.434316
C_48,Системная карьера,"Подход к развитию карьеры, основанный на системном мышлении и методологии First Principles Framework. Включает структурированные практики планирования, развития мастерства, управления энергией и построения репутации через взаимосвязанные элементы: роли, проекты, ритмы и артефакты. Отличается от традиционного карьерного планирования фокусом на создание устойчивых систем саморазвития вместо разовых целей.","Обеспечивает осознанное управление профессиональным развитием через практические инструменты и методы. Позволяет выстраивать карьеру как систему взаимоусиливающих практик, повышает агентность и результативность профессиональной деятельности.",draft+filled,Система,8-недельная программа развития; Недельные циклы стратегирования; Карта ролей и проектов; Система отслеживания мастерства; Публичные практики и репутация,relates_to:C_2; relates_to:C_13; relates_to:C_14; relates_to:C_15; relates_to:C_23; relates_to:C_27; relates_to:C_28; relates_to:C_35; relates_to:C_43; relates_to:C_46; relates_to:C_49; relates_to:C_51; relates_to:C_53,2025-10-02T15:58:57.466119,2025-10-02T16:18:13.762636
C_49,Системное саморазвитие,"Подход к личному развитию, основанный на системном мышлении и структурированном применении практик саморазвития. Включает осознанное планирование обучения, регулярную рефлексию прогресса и интеграцию новых навыков в повседневную деятельность через устойчивые ритмы и методы.","Обеспечивает устойчивый и измеримый рост профессиональных и личных компетенций. Помогает избежать хаотичного обучения, создаёт основу для долгосрочного карьерного развития и повышает эффективность инвестиций времени в саморазвитие.",draft+filled,Характеристика,Недельные циклы обучения с рефлексией; Ведение карты компетенций и отслеживание прогресса; Интеграция новых знаний через практические проекты; Системная работа с обратной связью; Планирование развития через приоритетные направления,relates_to:C_35; relates_to:C_31; relates_to:C_48; relates_to:C_27; relates_to:C_28; relates_to:C_33; relates_to:C_23,2025-10-02T15:58:57.466695,2025-10-02T16:18:28.935938
C_4,Взаимная рецензия (peer review),"Процесс взаимной оценки и обратной связи между коллегами или участниками одного уровня компетенций. Включает структурированный обмен мнениями о работе, идеях или решениях с целью выявления слепых зон и улучшения качества результатов. Отличается от экспертной оценки тем, что участники находятся на сопоставимом уровне опыта.","Повышение качества рабочих продуктов через независимую оценку, развитие критического мышления и коммуникативных навыков, создание культуры взаимного обучения в команде или профессиональном сообществе.",draft+filled,Метод,Обмен черновиками статей между коллегами; Код-ревью в разработке; Взаимная проверка презентаций перед важными выступлениями; Обсуждение карьерных планов с коллегами схожего уровня; Групповая оценка проектных предложений,relates_to:C_23; relates_to:C_44; relates_to:C_34,2025-10-02T15:58:57.446022,2025-10-02T16:08:50.245332
C_50,Слоты,"Выделенный временной интервал с четко определенной целью и границами, предназначенный для выполнения конкретного типа работы или активности. Слот имеет фиксированную продолжительность, ясные критерии начала и завершения, а также предсказуемый результат. В отличие от произвольного планирования времени, слоты создают структурированную рамку для систематического выполнения задач.","Обеспечивает предсказуемость и контроль над использованием времени в карьерном развитии. Позволяет создавать устойчивые ритмы работы, снижать когнитивную нагрузку на планирование и повышать качество выполнения задач через специализацию временных интервалов.",draft+filled,Значение,Утренний слот для стратегирования (7:00-8:00); Слот для глубокой работы без уведомлений; Еженедельный слот для рефлексии и планирования; Слот для изучения новых технологий; Слот для сетевого взаимодействия,relates_to:C_10; relates_to:C_27; relates_to:C_28; relates_to:C_51,2025-10-02T15:58:57.467231,2025-10-02T16:18:41.028979
C_51,Спринт (неделя),"Базовая единица планирования и выполнения работ в системной карьере, ограниченная одной календарной неделей. Включает постановку целей на неделю, ежедневное выполнение задач и еженедельную ретроспективу результатов. Структурирует карьерную деятельность через повторяющиеся циклы с четкими границами начала и завершения.","Обеспечивает управляемый ритм развития карьеры через короткие итерации с быстрой обратной связью. Позволяет регулярно корректировать направление, отслеживать прогресс и поддерживать устойчивый темп работы над карьерными целями без выгорания.",draft+filled,План работ,Планирование задач на понедельник; Еженедельная ретроспектива в пятницу; Корректировка приоритетов в середине недели; Отчет о достижениях за спринт,relates_to:C_27; relates_to:C_28; relates_to:C_33; relates_to:C_36; relates_to:C_37; relates_to:C_38,2025-10-02T15:58:57.467735,2025-10-02T16:18:53.815559
C_52,Стадии обучения,"Последовательные этапы освоения новых навыков и знаний, каждый из которых характеризуется определенным уровнем осознанности и автоматизма выполнения. Включают неосознанную некомпетентность, осознанную некомпетентность, осознанную компетентность и неосознанную компетентность. Переход между стадиями требует целенаправленных усилий и практики.","Помогает понимать текущий уровень владения навыком и планировать развитие. Позволяет выбирать подходящие методы обучения для каждой стадии, избегать разочарований от нереалистичных ожиданий и отслеживать прогресс в освоении компетенций.",draft+filled,Характеристика,"Переход от ""не знаю что не знаю"" к экспертности; Освоение нового инструмента разработки; Изучение методологии управления проектами; Развитие навыков публичных выступлений; Освоение новой предметной области",relates_to:C_1; relates_to:C_23; relates_to:C_31; relates_to:C_33; relates_to:C_35,2025-10-02T15:58:57.468163,2025-10-02T16:19:05.105403
C_53,Стратегирование,"Метод планирования карьерных действий на основе анализа текущего состояния, целей и ресурсов. Включает выбор приоритетов, распределение времени и энергии между проектами, корректировку направления развития. Отличается от обычного планирования системным подходом и фокусом на долгосрочные карьерные результаты.","Обеспечивает осознанное управление карьерой через регулярное переосмысление приоритетов и ресурсов. Помогает избежать хаотичности в развитии, концентрировать усилия на значимых проектах, адаптироваться к изменениям контекста.",draft+filled,Метод,Недельный обзор и планирование; Квартальная корректировка карьерных целей; Выбор между несколькими проектами; Анализ инвестиций времени в роли; Планирование развития мастерства,relates_to:C_27; relates_to:C_28; relates_to:C_36; relates_to:C_37; relates_to:C_38; relates_to:C_10; relates_to:C_2; relates_to:C_14; relates_to:C_46; relates_to:C_23,2025-10-02T15:58:57.468601,2025-10-02T16:19:16.431556
C_54,Творческий конвейер,"Организованная последовательность этапов создания и развития творческих идей в карьерном контексте. Включает сбор исходного материала, инкубацию идей, их проработку и воплощение в конкретные рабочие продукты. Отличается от обычного конвейера работ фокусом на генерацию нового знания и нестандартных решений.","Обеспечивает систематическое превращение творческих импульсов в ценные карьерные активы. Помогает не терять идеи, структурированно их развивать и создавать уникальные рабочие продукты, которые выделяют профессионала на рынке.",draft+filled,Метод,Ведение журнала идей с еженедельным обзором; Создание серии статей из случайных заметок; Разработка авторской методологии на основе практического опыта; Превращение рабочих инсайтов в публичные выступления,relates_to:C_17; relates_to:C_11; relates_to:C_24; relates_to:C_26; relates_to:C_44; relates_to:C_43,2025-10-02T15:58:57.469034,2025-10-02T16:19:31.982350
C_55,Творческий щелчок,"Момент внезапного озарения или прорыва в решении творческой задачи, когда разрозненные элементы складываются в целостное понимание или новую идею. Характеризуется ощущением ""ага-эффекта"" и часто происходит после периода интенсивной работы над проблемой.","Позволяет распознавать и использовать моменты творческих прорывов для развития карьеры, генерации новых решений и преодоления профессиональных вызовов. Помогает создавать условия для возникновения инсайтов.",draft+filled,Состояние,Внезапное понимание архитектуры проекта; Озарение о новом направлении карьеры; Прорыв в решении сложной задачи; Инсайт о связи между разными областями знаний; Момент понимания потребностей клиента,relates_to:C_54; relates_to:C_25; relates_to:C_39,2025-10-02T15:58:57.469594,2025-10-02T16:19:42.455661
C_56,Техноэволюция,"Процесс адаптации профессиональных навыков и карьерных стратегий к изменениям технологической среды. Включает освоение новых инструментов, переосмысление рабочих процессов и развитие цифровых компетенций для поддержания конкурентоспособности.","Помогает профессионалам оставаться востребованными в условиях технологических изменений, планировать развитие навыков с учетом трендов, адаптировать карьерные цели к новым возможностям и требованиям рынка.",draft+filled,Метод,Изучение ИИ-инструментов для автоматизации задач; Переход на новые платформы управления проектами; Освоение языков программирования для смежных задач; Адаптация процессов под удаленную работу; Развитие навыков работы с данными,relates_to:C_2; relates_to:C_23; relates_to:C_31; relates_to:C_35; relates_to:C_49; relates_to:C_53,2025-10-02T15:58:57.470079,2025-10-02T16:19:53.895762
C_57,Траектория ролей,"Последовательность ролей, которые человек занимает или планирует занимать в течение карьеры, с учётом переходов между ними и развития компетенций. Включает текущую роль, целевые роли и промежуточные позиции, необходимые для достижения карьерных целей. Отражает логику карьерного движения и стратегию накопления опыта.","Помогает планировать карьерные переходы, выявлять недостающие компетенции и опыт для следующих ролей, оценивать реалистичность карьерных целей и временные рамки их достижения. Позволяет выстраивать осознанную стратегию профессионального развития.",draft+filled,План работ,Переход от разработчика к тимлиду через роль старшего разработчика; Движение от аналитика к продакт-менеджеру через позицию продуктового аналитика; Развитие от специалиста к руководителю отдела через роль ведущего специалиста,relates_to:C_13; relates_to:C_14; relates_to:C_15; relates_to:C_23; relates_to:C_46; relates_to:C_48; relates_to:C_53,2025-10-02T15:58:57.470555,2025-10-02T16:20:05.708023
C_58,Уровни мастерства,"Градация развития компетенций от начального до экспертного уровня, отражающая качественные переходы в способности выполнять профессиональные задачи. Включает стадии от неосознанной некомпетентности до неосознанной компетентности, где каждый уровень характеризуется специфическими показателями понимания, навыков и автономности в работе.","Обеспечивает структурированную оценку текущих компетенций и планирование развития. Помогает выбирать подходящие задачи и роли, соответствующие уровню мастерства. Создает основу для постановки реалистичных целей обучения и карьерного роста.",draft+filled,Характеристика,Переход от джуниора к мидлу в разработке; Освоение управленческих навыков от тимлида до директора; Развитие экспертизы в консалтинге; Прогрессия в дизайне от исполнителя до арт-директора; Эволюция навыков публичных выступлений,relates_to:C_23; relates_to:C_31; relates_to:C_52; relates_to:C_42; relates_to:C_15,2025-10-02T15:58:57.471097,2025-10-02T16:20:17.842660
C_59,Устойчивая карьера (Sustainable Career),"Карьерная траектория, способная адаптироваться к изменениям внешней среды и поддерживать долгосрочное развитие профессионала без выгорания. Включает баланс между профессиональным ростом, личными ценностями, энергетическими ресурсами и социальным капиталом. Характеризуется гибкостью к переменам, непрерывным обучением и осознанным управлением карьерными решениями.","Обеспечить долгосрочную профессиональную реализацию и финансовую стабильность при сохранении личного благополучия. Помогает избежать карьерного выгорания, адаптироваться к изменениям рынка труда и поддерживать мотивацию к развитию на протяжении всей профессиональной жизни.",draft+filled,Состояние,Регулярная смена проектов для предотвращения рутины; Инвестирование времени в обучение новым навыкам; Поддержание сети профессиональных контактов; Планирование карьерных переходов заранее; Балансирование амбиций с личными ресурсами,relates_to:C_2; relates_to:C_14; relates_to:C_15; relates_to:C_23; relates_to:C_27; relates_to:C_35; relates_to:C_39; relates_to:C_48; relates_to:C_49; relates_to:C_53,2025-10-02T15:58:57.471585,2025-10-02T16:20:30.457303
C_5,Должность,"Официальная позиция в организационной структуре, определяющая набор обязанностей, полномочий и ответственности сотрудника. Включает формальное название, уровень в иерархии, функциональную область и требования к квалификации. Отличается от роли тем, что должность — это административная единица в штатном расписании, а роль — это функция, которую человек выполняет в системе.","Обеспечивает структурированное понимание карьерных позиций для планирования роста, оценки соответствия компетенций требованиям и выстраивания траектории развития. Помогает в переговорах о карьерных изменениях и формировании личного бренда под конкретную позицию.",draft+filled,Состояние,"Переход с позиции ""Аналитик"" на ""Старший аналитик""; Поиск должности ""Руководитель проекта"" в IT-компании; Анализ требований к должности ""Продуктовый менеджер""; Подготовка к собеседованию на должность ""Технический директор""",relates_to:C_14; relates_to:C_15; relates_to:C_23; relates_to:C_46,2025-10-02T15:58:57.446742,2025-10-02T16:09:02.455149
C_60,Формирование окружения,"Целенаправленное создание и настройка физической, социальной и информационной среды для поддержки карьерных целей и продуктивной работы. Включает выбор места работы, инструментов, людей для взаимодействия и источников информации.","Создать условия, которые автоматически поддерживают нужные привычки и снижают сопротивление при выполнении важных карьерных задач. Минимизировать отвлечения и максимизировать доступность ресурсов для роста.",draft+filled,Метод,Настройка рабочего места под приоритетные задачи; Подбор ментора или карьерного трекера; Подписка на профильные источники информации; Создание регулярных встреч с коллегами по интересам; Организация домашнего пространства для обучения,relates_to:C_19; relates_to:C_23; relates_to:C_35; relates_to:C_43; relates_to:C_48,2025-10-02T15:58:57.472088,2025-10-02T16:20:43.747330
C_61,Целенаправленное зондирование,"Метод исследования карьерных возможностей через структурированные эксперименты и пробные действия для получения обратной связи от рынка и среды. Включает планирование гипотез, выбор способов проверки и анализ результатов для принятия карьерных решений.","Снижает риски при смене направления карьеры, позволяет получить реальную информацию о возможностях до крупных инвестиций времени и ресурсов, помогает выявить скрытые препятствия и неожиданные преимущества в карьерных переходах.",draft+filled,Метод,Информационные интервью с профессионалами целевой области; Участие в краткосрочных проектах новой сферы; Создание пробного портфолио работ; Посещение отраслевых мероприятий; Тестирование навыков через фриланс-задачи,relates_to:C_2; relates_to:C_27; relates_to:C_53,2025-10-02T15:58:57.472513,2025-10-02T16:20:56.697771
C_62,Чувство,"Эмоциональная реакция на события карьеры и рабочие ситуации, которая сигнализирует о соответствии или несоответствии происходящего внутренним ценностям и потребностям. Включает как позитивные состояния (удовлетворение от достижений, воодушевление от новых возможностей), так и негативные (фрустрация от рутины, тревога перед неопределенностью). Служит важным источником информации для принятия карьерных решений.","Помогает распознавать сигналы о качестве карьерных выборов и рабочих процессов. Используется как индикатор для корректировки стратегии развития, выявления проблемных зон и определения направлений роста. Позволяет различать истинную мотивацию от навязанных извне целей.",draft+filled,Состояние,Чувство выгорания при монотонной работе; Воодушевление от освоения новой роли; Тревога перед публичным выступлением; Удовлетворение от завершённого проекта; Раздражение от неэффективных процессов,relates_to:C_29; relates_to:C_39; relates_to:C_32,2025-10-02T15:58:57.472930,2025-10-02T16:21:08.747738
C_63,Шкура на кону (Skin in the game),"Принцип принятия решений и действий, при котором человек несёт реальные последствия за свои выборы — финансовые, репутационные или временные потери в случае неудачи. Включает личную ответственность за результат и готовность рисковать собственными ресурсами ради достижения цели.",Повышает качество решений в карьере через личную заинтересованность в результате. Мотивирует к более тщательной подготовке и выполнению обязательств. Создаёт доверие у партнёров и работодателей через демонстрацию серьёзности намерений.,draft+filled,Характеристика,Вложение собственных денег в стартап; Публичные обязательства с репутационными рисками; Переход на фриланс с потерей стабильной зарплаты; Запуск личного проекта на собственные ресурсы,relates_to:C_2; relates_to:C_22; relates_to:C_36; relates_to:C_43,2025-10-02T15:58:57.473442,2025-10-02T16:21:20.246623
C_64,Экзокортекс / Второй мозг (Second Brain),"Внешняя система для расширения возможностей мышления и памяти, включающая инструменты захвата, обработки, связывания и извлечения информации. Состоит из методов быстрой фиксации мыслей, структурированного хранения знаний и алгоритмов поиска связей между идеями. Не путать с простым архивом документов — экзокортекс активно участвует в мыслительных процессах.",Разгружает оперативную память мозга для сосредоточения на творческих и аналитических задачах. Обеспечивает накопление и переиспользование знаний в карьерных проектах. Создаёт основу для системного мышления через визуализацию связей между концепциями и опытом.,draft+filled,Система,Ведение связанных заметок в Obsidian; Система тегов и поиска по личной базе знаний; Автоматическая фиксация идей через диктофон; Карты связей между проектами и компетенциями; Шаблоны для анализа решений,relates_to:C_11; relates_to:C_24; relates_to:C_26; relates_to:C_25,2025-10-02T15:58:57.473888,2025-10-02T16:21:32.549671
C_65,Элита,"Группа людей, обладающих высоким уровнем мастерства, влияния и признания в определённой области. Характеризуется способностью задавать стандарты, формировать тренды и принимать ключевые решения. Отличается от просто успешных людей системным воздействием на развитие профессиональной области и способностью создавать возможности для других.","Служит ориентиром для карьерного роста и развития профессиональной репутации. Помогает понять высшие уровни мастерства и влияния, к которым можно стремиться. Даёт представление о том, какие качества и достижения необходимы для перехода в категорию ведущих специалистов отрасли.",draft+filled,Роль,Технические лидеры крупных IT-компаний; Признанные эксперты с собственными методологиями; Спикеры ключевых отраслевых конференций; Авторы влиятельных профессиональных публикаций; Основатели успешных направлений в бизнесе,relates_to:C_23; relates_to:C_43; relates_to:C_45; relates_to:C_42,2025-10-02T15:58:57.474361,2025-10-02T16:21:46.693768
C_66,Эмоции,"Психофизиологические реакции на события карьеры и рабочие ситуации, которые влияют на принятие решений, мотивацию и взаимодействие с другими. Включают как позитивные состояния (энтузиазм, удовлетворение от достижений), так и негативные (фрустрация, тревога, выгорание). Эмоции служат индикаторами соответствия текущей деятельности личным ценностям и потребностям.","Помогают распознавать сигналы о необходимости изменений в карьере, влияют на качество работы и отношений с коллегами, определяют устойчивость к стрессу и способность к долгосрочному развитию. Осознанное управление эмоциями повышает эффективность стратегирования и принятия карьерных решений.",draft+filled,Характеристика,Радость от завершения сложного проекта; Тревога перед важной презентацией; Фрустрация от рутинных задач; Воодушевление от изучения новой технологии; Раздражение от неэффективных процессов,relates_to:C_29; relates_to:C_39; relates_to:C_27; relates_to:C_53,2025-10-02T15:58:57.474801,2025-10-02T16:22:01.926272
C_67,Этические фильтры / «красные зоны»,"Внутренние принципы и границы, которые определяют неприемлемые для человека виды деятельности, проекты или способы достижения целей в карьере. Включают моральные убеждения, ценностные установки и личные табу, которые служат автоматическими критериями отбора возможностей. Формируются на основе жизненного опыта, воспитания и осознанного выбора приоритетов.","Помогают быстро отсеивать неподходящие карьерные возможности без долгих размышлений, защищают от компромиссов с совестью, поддерживают целостность личности и предотвращают выгорание от работы против собственных убеждений. Создают четкие рамки для принятия решений в карьерном планировании.",draft+filled,Состояние,Отказ от проектов с сомнительной этикой; Избегание токсичных рабочих культур; Неучастие в обмане клиентов; Отказ от работы в неэкологичных отраслях; Неиспользование манипулятивных техник продаж,relates_to:C_2; relates_to:C_14; relates_to:C_22; relates_to:C_27; relates_to:C_53,2025-10-02T15:58:57.475250,2025-10-02T16:22:14.657225
C_68,Эпик,"Крупная инициатива или направление работы, которое разбивается на несколько спринтов и объединяет связанные задачи общей целью. Имеет четкие критерии завершения и измеримые результаты. В контексте карьеры представляет значимый проект развития, который требует планомерной работы в течение нескольких недель или месяцев.","Структурирование крупных карьерных инициатив на управляемые части, обеспечение фокуса на стратегически важных направлениях развития, создание ясной связи между еженедельными спринтами и долгосрочными целями карьеры.",draft+filled,План работ,Освоение новой профессиональной области за 3 месяца; Построение экспертности в конкретной теме через серию публикаций; Переход на новую должность через развитие недостающих компетенций; Создание личного бренда в профессиональном сообществе,relates_to:C_27; relates_to:C_28; relates_to:C_36; relates_to:C_37; relates_to:C_51; relates_to:C_53,2025-10-02T15:58:57.475662,2025-10-02T16:22:27.509032
C_6,Жизненное мастерство,"Интегрированная способность эффективно управлять различными аспектами жизни через развитые навыки, осознанные практики и системный подход. Включает умение балансировать карьеру, отношения, здоровье, обучение и личные проекты как единую систему. Отличается от узкого профессионального мастерства тем, что охватывает всю жизнь как проект.","Обеспечивает устойчивое развитие во всех сферах жизни, предотвращает выгорание от дисбаланса, создает основу для долгосрочного карьерного роста через гармонизацию всех жизненных областей.",draft+filled,Характеристика,"Еженедельное планирование всех сфер жизни; Интеграция обучения в повседневные дела; Осознанное управление энергией между работой и личной жизнью; Развитие привычек, поддерживающих все роли одновременно",relates_to:C_2; relates_to:C_23; relates_to:C_27; relates_to:C_28; relates_to:C_35; relates_to:C_48; relates_to:C_49; relates_to:C_53,2025-10-02T15:58:57.447236,2025-10-02T16:09:13.934893
C_7,Заготовка,"Предварительная версия рабочего продукта, содержащая базовую структуру и ключевые элементы, но требующая доработки до финального состояния. Включает черновики, наброски, шаблоны с частично заполненным содержанием. Отличается от готового артефакта незавершённостью и необходимостью дополнительных итераций.",Ускорение создания рабочих продуктов через повторное использование проверенных структур. Снижение барьера входа в новые задачи за счёт готовой основы. Обеспечение консистентности подхода при создании однотипных артефактов в карьерных проектах.,draft+filled,Артефакт,Черновик резюме с базовыми разделами; Шаблон личного контракта с ключевыми пунктами; Набросок презентации с основными слайдами; Структура недельного плана; Заготовка карты ролей,relates_to:C_22; relates_to:C_27; relates_to:C_13; relates_to:C_44,2025-10-02T15:58:57.447742,2025-10-02T16:09:24.941013
C_8,Инкремент,"Минимальная завершённая единица работы или развития, которая создаёт измеримую ценность и может быть оценена независимо. Содержит чёткие границы начала и завершения, критерии готовности и конкретный результат. В контексте карьеры представляет собой атомарный шаг прогресса, который можно выполнить за ограниченное время и получить обратную связь.","Структурирование работы и развития на управляемые части, обеспечение регулярного прогресса и возможности корректировки курса. Позволяет измерять продвижение, получать быструю обратную связь и поддерживать мотивацию через видимые результаты.",draft+filled,Артефакт,Завершение одного модуля курса; Написание статьи от идеи до публикации; Освоение конкретного навыка с демонстрацией; Выполнение недельного спринта; Создание рабочего продукта по критериям приёмки,relates_to:C_20; relates_to:C_44; relates_to:C_51; relates_to:C_33,2025-10-02T15:58:57.448239,2025-10-02T16:09:36.597984
C_9,Интенсивность эмоций,"Степень выраженности эмоциональных реакций на карьерные события, изменения и вызовы. Включает силу переживаний, их продолжительность и влияние на принятие решений. Может варьироваться от слабых фоновых ощущений до острых эмоциональных всплесков, влияющих на работоспособность и выбор действий.","Помогает отслеживать эмоциональное состояние для принятия взвешенных карьерных решений, управления энергией и выбора подходящего времени для важных переговоров или изменений в работе.",draft+filled,Характеристика,Сильное волнение перед собеседованием; Эмоциональное выгорание от рутинных задач; Воодушевление от нового проекта; Тревога при смене роли; Радость от признания результатов,relates_to:C_29; relates_to:C_39; relates_to:C_32,2025-10-02T15:58:57.448703,2025-10-02T16:09:47.059011
